,Zipcode,state,Total_4_Household Income,Total_4_Asian Amer.,Total_4_Black Amer.,Total_4_Hispanic Amer.,Total_4_White Amer.,Total_4_Other
285,07930,34,705579.0,1820.0,435.0,3063.0,37141.0,751.0
286,07931,34,951550.0,456.0,542.0,1181.0,15071.0,177.0
287,07932,34,596197.0,5253.0,1612.0,3636.0,42672.0,0.0
288,07933,34,645171.0,742.0,337.0,598.0,15040.0,97.0
289,07934,34,783233.0,47.0,0.0,447.0,7697.0,213.0
290,07935,34,-666092921.0,0.0,0.0,0.0,1666.0,0.0
291,07936,34,595234.0,7324.0,435.0,6975.0,47102.0,71.0
292,07939,34,-2666625414.0,48.0,459.0,146.0,556.0,0.0
293,07940,34,637912.0,5495.0,4323.0,8373.0,73479.0,858.0
294,07945,34,842253.0,1316.0,434.0,2163.0,42391.0,249.0
295,07946,34,768191.0,777.0,4.0,520.0,14483.0,28.0
296,07950,34,594652.0,18638.0,2739.0,6053.0,73175.0,313.0
297,07960,34,565267.0,11027.0,15212.0,39824.0,183539.0,8490.0
298,07961,34,-3333333330.0,0.0,0.0,0.0,0.0,0.0
299,07970,34,1189141.0,108.0,0.0,478.0,776.0,0.0
300,07974,34,737441.0,7416.0,534.0,4905.0,51315.0,403.0
301,07976,34,620395.0,0.0,0.0,256.0,3136.0,0.0
302,07979,34,748545.0,62.0,82.0,8.0,2251.0,0.0
303,07980,34,574297.0,1193.0,0.0,1119.0,10216.0,60.0
304,07981,34,568398.0,6240.0,343.0,3101.0,38411.0,145.0
305,08001,34,355279.0,0.0,385.0,195.0,4320.0,83.0
306,08002,34,390874.0,15329.0,8147.0,10984.0,80824.0,5159.0
307,08003,34,611546.0,24124.0,8998.0,6156.0,111311.0,1865.0
308,08004,34,426561.0,693.0,6071.0,3572.0,49864.0,1816.0
309,08005,34,348345.0,797.0,6953.0,9286.0,106603.0,2153.0
310,08006,34,345129.0,11.0,0.0,25.0,1867.0,25.0
311,08007,34,335522.0,238.0,668.0,1134.0,23818.0,208.0
312,08008,34,411726.0,168.0,156.0,283.0,33513.0,52.0
313,08009,34,416653.0,1746.0,6220.0,3394.0,53393.0,1356.0
314,08010,34,317492.0,1277.0,15087.0,7952.0,34337.0,2776.0
315,08012,34,359786.0,7060.0,21706.0,13375.0,158359.0,4455.0
316,08014,34,478876.0,26.0,0.0,0.0,3168.0,0.0
317,08015,34,323512.0,2938.0,17406.0,11331.0,69092.0,2165.0
318,08016,34,382144.0,10203.0,49589.0,16193.0,90895.0,4271.0
319,08019,34,467914.0,10.0,148.0,465.0,4608.0,259.0
320,08020,34,421893.0,112.0,429.0,369.0,12457.0,75.0
321,08021,34,248261.0,4852.0,62854.0,35028.0,124130.0,20523.0
322,08022,34,466746.0,5088.0,3886.0,1697.0,34658.0,324.0
323,08023,34,194231.0,0.0,41.0,195.0,1696.0,163.0
324,08026,34,414087.0,83.0,210.0,553.0,10113.0,339.0
325,08027,34,344880.0,288.0,756.0,463.0,22967.0,135.0
326,08028,34,341255.0,3228.0,19758.0,10490.0,70331.0,6528.0
327,08029,34,286430.0,195.0,275.0,1373.0,20807.0,62.0
328,08030,34,276211.0,3738.0,2604.0,7710.0,53829.0,5445.0
329,08031,34,262159.0,5433.0,1037.0,6042.0,46440.0,3312.0
330,08033,34,568885.0,1426.0,832.0,2764.0,76317.0,383.0
331,08034,34,459253.0,8313.0,6813.0,8080.0,71067.0,3888.0
332,08035,34,455546.0,531.0,762.0,1068.0,35946.0,508.0
333,08036,34,500120.0,1548.0,2798.0,1089.0,24152.0,20.0
334,08037,34,355082.0,1214.0,4753.0,20599.0,101251.0,9036.0
335,08039,34,-666391773.0,0.0,0.0,403.0,644.0,0.0
336,08041,34,568869.0,9.0,364.0,578.0,4456.0,128.0
337,08042,34,-666109143.0,0.0,0.0,0.0,885.0,0.0
338,08043,34,437544.0,28156.0,14390.0,5916.0,98161.0,1535.0
339,08045,34,310096.0,183.0,12149.0,651.0,724.0,379.0
340,08046,34,352650.0,2707.0,111284.0,16295.0,31055.0,3945.0
341,08048,34,427098.0,2968.0,10935.0,4103.0,42998.0,1602.0
342,08049,34,295784.0,623.0,4201.0,2733.0,20659.0,1198.0
343,08050,34,377489.0,1629.0,2614.0,9311.0,116812.0,1548.0
344,08051,34,387016.0,1020.0,2942.0,1375.0,48055.0,108.0
345,08052,34,292233.0,6796.0,9239.0,9279.0,72225.0,4168.0
346,08053,34,473263.0,13587.0,11904.0,10716.0,194087.0,3110.0
347,08054,34,458059.0,19056.0,20119.0,10113.0,160177.0,2920.0
348,08055,34,573301.0,3138.0,2420.0,4640.0,127212.0,1470.0
349,08056,34,783346.0,1604.0,1440.0,409.0,19830.0,0.0
350,08057,34,667934.0,7179.0,7167.0,2266.0,86628.0,633.0
351,08059,34,352293.0,126.0,1165.0,705.0,26335.0,116.0
352,08060,34,411393.0,5337.0,26725.0,14174.0,77912.0,3662.0
353,08061,34,679632.0,957.0,2779.0,815.0,10591.0,185.0
354,08062,34,640514.0,774.0,2303.0,2832.0,75828.0,954.0
355,08063,34,312210.0,104.0,364.0,480.0,14267.0,158.0
356,08064,34,-3333333330.0,58.0,240.0,11.0,554.0,0.0
357,08065,34,342600.0,1216.0,5968.0,3010.0,26244.0,2204.0
358,08066,34,236754.0,106.0,11424.0,3122.0,28660.0,1059.0
359,08067,34,401424.0,53.0,365.0,341.0,7351.0,240.0
360,08068,34,298207.0,660.0,9039.0,6161.0,20088.0,1894.0
361,08069,34,242781.0,594.0,15206.0,14530.0,41361.0,3680.0
362,08070,34,312838.0,1107.0,1641.0,1545.0,57790.0,389.0
363,08071,34,378099.0,719.0,914.0,1093.0,44362.0,111.0
364,08072,34,351780.0,16.0,99.0,61.0,1274.0,0.0
365,08074,34,-3333333330.0,0.0,43.0,0.0,42.0,0.0
366,08075,34,384309.0,4936.0,15305.0,8457.0,115862.0,5157.0
367,08077,34,492975.0,1467.0,4981.0,5471.0,86555.0,1242.0
368,08078,34,314266.0,1482.0,3740.0,4779.0,33591.0,1784.0
369,08079,34,221808.0,147.0,16783.0,4107.0,31125.0,911.0
370,08080,34,485406.0,10104.0,8792.0,6876.0,160394.0,1586.0
371,08081,34,424271.0,9434.0,84621.0,21468.0,134664.0,7680.0
372,08083,34,352305.0,1605.0,7590.0,3721.0,35570.0,1734.0
373,08084,34,368705.0,1904.0,3169.0,1709.0,28617.0,722.0
374,08085,34,577358.0,4276.0,11304.0,7299.0,80372.0,3180.0
375,08086,34,382161.0,1511.0,3141.0,2171.0,32489.0,1206.0
376,08087,34,318328.0,2120.0,942.0,7013.0,116665.0,731.0
377,08088,34,384219.0,921.0,2080.0,5030.0,113688.0,1284.0
378,08089,34,317364.0,217.0,3607.0,2399.0,16365.0,578.0
379,08090,34,426959.0,957.0,2403.0,1826.0,35593.0,709.0
380,08091,34,303112.0,1517.0,3012.0,2173.0,20867.0,1440.0
381,08092,34,376238.0,55.0,0.0,702.0,16454.0,162.0
382,08093,34,272916.0,1091.0,6092.0,4892.0,35489.0,1714.0
383,08094,34,382496.0,4713.0,29057.0,13551.0,158268.0,2932.0
384,08095,34,-1999908503.0,0.0,0.0,109.0,260.0,109.0
385,08096,34,342572.0,6719.0,26036.0,12884.0,133599.0,6005.0
386,08097,34,415330.0,156.0,983.0,891.0,14550.0,154.0
387,08098,34,437556.0,555.0,4226.0,2231.0,40377.0,366.0
388,08102,34,101238.0,472.0,11577.0,23849.0,8962.0,15157.0
389,08103,34,125023.0,990.0,44865.0,24157.0,11455.0,13073.0
390,08104,34,115975.0,430.0,73459.0,39619.0,16945.0,19044.0
391,08105,34,163109.0,6911.0,38087.0,93525.0,35469.0,54522.0
392,08106,34,374139.0,42.0,1616.0,987.0,46094.0,107.0
393,08107,34,282400.0,2617.0,10708.0,10222.0,45545.0,4871.0
394,08108,34,438386.0,2043.0,4383.0,5003.0,82097.0,1688.0
395,08109,34,343692.0,7601.0,19434.0,27496.0,69041.0,13686.0
396,08110,34,307461.0,8260.0,30005.0,39288.0,25901.0,24111.0
397,08201,34,308126.0,2627.0,7041.0,7126.0,35950.0,2675.0
398,08202,34,421573.0,56.0,7.0,88.0,7669.0,0.0
399,08203,34,328913.0,1672.0,851.0,3506.0,41685.0,344.0
400,08204,34,329154.0,987.0,2820.0,6903.0,86472.0,1231.0
401,08205,34,319462.0,17032.0,17361.0,17417.0,92554.0,6533.0
402,08210,34,347416.0,1172.0,10473.0,2828.0,69974.0,619.0
403,08212,34,258944.0,0.0,12.0,0.0,1005.0,0.0
404,08215,34,322766.0,2561.0,8360.0,10173.0,51920.0,3826.0
405,08217,34,-3333333330.0,0.0,16.0,0.0,166.0,0.0
406,08221,34,462348.0,1415.0,471.0,2209.0,31382.0,395.0
407,08223,34,380331.0,74.0,165.0,378.0,20155.0,0.0
408,08224,34,340398.0,35.0,50.0,185.0,2356.0,6.0
409,08225,34,379181.0,2561.0,833.0,4516.0,37359.0,600.0
410,08226,34,344261.0,999.0,1447.0,4135.0,51203.0,1714.0
411,08230,34,428401.0,218.0,37.0,1594.0,26749.0,176.0
412,08232,34,205149.0,3069.0,38440.0,42386.0,40021.0,10873.0
413,08234,34,386777.0,24604.0,17562.0,36896.0,143970.0,14916.0
414,08240,34,-3333333330.0,541.0,1165.0,1369.0,9580.0,161.0
415,08241,34,503116.0,82.0,40.0,101.0,5087.0,0.0
416,08242,34,277441.0,97.0,558.0,4010.0,13250.0,635.0
417,08243,34,360072.0,49.0,3.0,104.0,9673.0,2.0
418,08244,34,276796.0,2655.0,7107.0,6218.0,42110.0,931.0
419,08247,34,486705.0,24.0,37.0,18.0,4724.0,0.0
420,08248,34,-665792478.0,0.0,0.0,0.0,1042.0,0.0
421,08251,34,253821.0,33.0,362.0,3452.0,45157.0,651.0
422,08260,34,231106.0,795.0,2435.0,6460.0,59887.0,583.0
423,08270,34,314539.0,119.0,3412.0,4736.0,36747.0,821.0
424,08302,34,244173.0,3002.0,57387.0,72529.0,131137.0,23773.0
425,08310,34,257707.0,36.0,198.0,522.0,6693.0,9.0
426,08311,34,317468.0,14.0,1628.0,2126.0,8119.0,821.0
427,08312,34,323644.0,696.0,6066.0,2154.0,30945.0,375.0
428,08314,34,368279.0,555.0,5965.0,2651.0,4813.0,1601.0
429,08316,34,-666432818.0,56.0,0.0,75.0,1488.0,75.0
430,08317,34,404423.0,63.0,818.0,418.0,6236.0,87.0
431,08318,34,394396.0,442.0,3257.0,2459.0,55199.0,569.0
432,08319,34,466719.0,40.0,113.0,179.0,5741.0,7.0
433,08320,34,-3333333330.0,70.0,3532.0,1393.0,1251.0,731.0
434,08321,34,118640.0,0.0,0.0,0.0,696.0,0.0
435,08322,34,413383.0,1520.0,3958.0,3398.0,45033.0,2094.0
436,08323,34,350804.0,160.0,176.0,147.0,3183.0,5.0
437,08324,34,441956.0,0.0,0.0,11.0,1457.0,11.0
438,08326,34,321108.0,247.0,310.0,1937.0,5788.0,721.0
439,08327,34,-666364365.0,42.0,8483.0,2713.0,5452.0,1920.0
440,08328,34,299981.0,21.0,176.0,741.0,5692.0,507.0
441,08329,34,386817.0,17.0,0.0,0.0,702.0,0.0
442,08330,34,323159.0,11093.0,23383.0,19774.0,91404.0,7407.0
443,08332,34,259010.0,2751.0,30116.0,29058.0,136482.0,4019.0
444,08340,34,-666316695.0,110.0,79.0,333.0,5078.0,76.0
445,08341,34,168623.0,130.0,843.0,4313.0,7331.0,2702.0
446,08343,34,493023.0,292.0,1348.0,1417.0,23301.0,670.0
