,Name,Household Income,Asian Amer.,Black Amer.,Hispanic Amer.,White Amer.,Other,state,Zipcode
9602,ZCTA5 07001,68036.0,3925.0,4449.0,2925.0,9123.0,423.0,34,07001
9603,ZCTA5 07002,54413.0,5822.0,7095.0,15375.0,46266.0,4194.0,34,07002
9604,ZCTA5 07003,72791.0,4325.0,8519.0,12854.0,29693.0,3624.0,34,07003
9605,ZCTA5 07004,106691.0,128.0,0.0,282.0,7376.0,16.0,34,07004
9606,ZCTA5 07005,100582.0,1085.0,516.0,1309.0,13180.0,267.0,34,07005
9607,ZCTA5 07006,101237.0,1349.0,459.0,1506.0,22688.0,328.0,34,07006
9608,ZCTA5 07008,67068.0,5426.0,3462.0,6965.0,13651.0,872.0,34,07008
9609,ZCTA5 07009,101779.0,1086.0,648.0,595.0,10604.0,30.0,34,07009
9610,ZCTA5 07010,60979.0,3310.0,740.0,7242.0,17337.0,2506.0,34,07010
9611,ZCTA5 07011,55817.0,2259.0,2646.0,22267.0,28292.0,7139.0,34,07011
9612,ZCTA5 07012,75556.0,1466.0,551.0,1673.0,8615.0,410.0,34,07012
9613,ZCTA5 07013,80149.0,3266.0,1673.0,5235.0,19089.0,1792.0,34,07013
9614,ZCTA5 07014,99554.0,733.0,453.0,982.0,3339.0,235.0,34,07014
9615,ZCTA5 07016,115201.0,561.0,737.0,1881.0,21437.0,233.0,34,07016
9616,ZCTA5 07017,36826.0,364.0,32118.0,2682.0,1377.0,1742.0,34,07017
9617,ZCTA5 07018,37286.0,197.0,25808.0,1832.0,1003.0,1006.0,34,07018
9618,ZCTA5 07020,101767.0,4101.0,820.0,1592.0,6274.0,201.0,34,07020
9619,ZCTA5 07021,171818.0,76.0,7.0,102.0,1979.0,0.0,34,07021
9620,ZCTA5 07022,53846.0,779.0,416.0,7737.0,9396.0,3237.0,34,07022
9621,ZCTA5 07023,111905.0,461.0,555.0,785.0,6012.0,29.0,34,07023
9622,ZCTA5 07024,70420.0,14655.0,713.0,4821.0,19181.0,882.0,34,07024
9623,ZCTA5 07026,45461.0,863.0,1760.0,10787.0,26136.0,1663.0,34,07026
9624,ZCTA5 07027,73924.0,9.0,17.0,745.0,4024.0,227.0,34,07027
9625,ZCTA5 07028,169875.0,330.0,540.0,864.0,6474.0,136.0,34,07028
9626,ZCTA5 07029,55493.0,2947.0,297.0,8550.0,8724.0,4746.0,34,07029
9627,ZCTA5 07030,114381.0,4511.0,1590.0,7960.0,43925.0,924.0,34,07030
9628,ZCTA5 07031,66484.0,1379.0,346.0,4149.0,12863.0,849.0,34,07031
9629,ZCTA5 07032,60015.0,2096.0,1585.0,18725.0,28188.0,8642.0,34,07032
9630,ZCTA5 07033,97279.0,400.0,425.0,1170.0,6931.0,129.0,34,07033
9631,ZCTA5 07034,83527.0,2532.0,288.0,1126.0,6221.0,108.0,34,07034
9632,ZCTA5 07035,83063.0,693.0,314.0,823.0,9610.0,103.0,34,07035
9633,ZCTA5 07036,62867.0,1003.0,11734.0,12795.0,25161.0,3760.0,34,07036
9634,ZCTA5 07039,143203.0,6226.0,501.0,1375.0,22252.0,47.0,34,07039
9635,ZCTA5 07040,118242.0,720.0,7508.0,1867.0,14931.0,243.0,34,07040
9636,ZCTA5 07041,101235.0,1273.0,588.0,651.0,5337.0,67.0,34,07041
9637,ZCTA5 07042,81225.0,1139.0,8313.0,2710.0,14055.0,874.0,34,07042
9638,ZCTA5 07043,176917.0,515.0,846.0,731.0,11047.0,95.0,34,07043
9639,ZCTA5 07044,100941.0,492.0,341.0,976.0,12640.0,84.0,34,07044
9640,ZCTA5 07045,121694.0,1505.0,134.0,413.0,8239.0,0.0,34,07045
9641,ZCTA5 07046,163864.0,552.0,12.0,84.0,3643.0,10.0,34,07046
9642,ZCTA5 07047,55222.0,3942.0,1997.0,45897.0,44248.0,10534.0,34,07047
9643,ZCTA5 07050,32772.0,449.0,22157.0,6444.0,2546.0,4486.0,34,07050
9644,ZCTA5 07052,90429.0,3602.0,12007.0,8583.0,28163.0,1482.0,34,07052
9645,ZCTA5 07054,82435.0,11174.0,1481.0,2548.0,15812.0,365.0,34,07054
9646,ZCTA5 07055,31832.0,2371.0,7536.0,50663.0,33675.0,22622.0,34,07055
9647,ZCTA5 07057,55547.0,797.0,397.0,1449.0,10052.0,152.0,34,07057
9648,ZCTA5 07058,115865.0,1633.0,12.0,652.0,3975.0,0.0,34,07058
9649,ZCTA5 07059,143833.0,2677.0,116.0,1304.0,12486.0,354.0,34,07059
9650,ZCTA5 07060,54419.0,1339.0,12885.0,21775.0,12583.0,18425.0,34,07060
9651,ZCTA5 07062,67284.0,441.0,7397.0,2724.0,2522.0,2133.0,34,07062
9652,ZCTA5 07063,67212.0,270.0,4703.0,5490.0,2838.0,5670.0,34,07063
9653,ZCTA5 07064,80911.0,186.0,307.0,909.0,3067.0,32.0,34,07064
9654,ZCTA5 07065,60374.0,1171.0,9121.0,7670.0,14373.0,3107.0,34,07065
9655,ZCTA5 07066,90956.0,274.0,177.0,1655.0,14404.0,146.0,34,07066
9656,ZCTA5 07067,95395.0,2289.0,878.0,2124.0,14156.0,528.0,34,07067
9657,ZCTA5 07068,101786.0,481.0,34.0,578.0,5188.0,0.0,34,07068
9658,ZCTA5 07069,129718.0,833.0,147.0,652.0,5024.0,18.0,34,07069
9659,ZCTA5 07070,84778.0,2932.0,370.0,2929.0,14379.0,267.0,34,07070
9660,ZCTA5 07071,70344.0,1517.0,310.0,4508.0,18523.0,673.0,34,07071
9661,ZCTA5 07072,70056.0,487.0,20.0,1720.0,5041.0,506.0,34,07072
9662,ZCTA5 07073,78680.0,1634.0,523.0,1992.0,6150.0,360.0,34,07073
9663,ZCTA5 07074,55179.0,273.0,16.0,792.0,2032.0,301.0,34,07074
9664,ZCTA5 07075,96988.0,718.0,104.0,761.0,6733.0,169.0,34,07075
9665,ZCTA5 07076,111182.0,2222.0,2795.0,1789.0,18200.0,147.0,34,07076
9666,ZCTA5 07077,73421.0,175.0,376.0,358.0,1895.0,48.0,34,07077
9667,ZCTA5 07078,250001.0,2264.0,27.0,380.0,10291.0,29.0,34,07078
9668,ZCTA5 07079,117220.0,883.0,4325.0,872.0,10632.0,85.0,34,07079
9669,ZCTA5 07080,86404.0,4146.0,2331.0,3560.0,15368.0,1296.0,34,07080
9670,ZCTA5 07081,99211.0,1715.0,1021.0,1383.0,13534.0,693.0,34,07081
9671,ZCTA5 07082,135656.0,779.0,11.0,474.0,4194.0,74.0,34,07082
9672,ZCTA5 07083,77749.0,5824.0,14370.0,9396.0,28967.0,4168.0,34,07083
9673,ZCTA5 07086,75388.0,1488.0,719.0,5163.0,10025.0,533.0,34,07086
9674,ZCTA5 07087,41197.0,2439.0,3252.0,58131.0,46471.0,14617.0,34,07087
9675,ZCTA5 07088,43706.0,32.0,2703.0,322.0,397.0,69.0,34,07088
9676,ZCTA5 07090,146519.0,1790.0,1276.0,2204.0,26255.0,713.0,34,07090
9677,ZCTA5 07092,133571.0,366.0,89.0,218.0,6170.0,101.0,34,07092
9678,ZCTA5 07093,47611.0,3758.0,2331.0,48625.0,37966.0,15606.0,34,07093
9679,ZCTA5 07094,86061.0,4822.0,517.0,3275.0,11030.0,893.0,34,07094
9680,ZCTA5 07095,79202.0,4622.0,2215.0,4626.0,11609.0,900.0,34,07095
9681,ZCTA5 07102,25238.0,910.0,6544.0,3105.0,3198.0,1875.0,34,07102
9682,ZCTA5 07103,27617.0,505.0,24857.0,4777.0,2553.0,2525.0,34,07103
9683,ZCTA5 07104,32160.0,1120.0,13247.0,33861.0,19848.0,12780.0,34,07104
9684,ZCTA5 07105,43645.0,237.0,4944.0,25942.0,26105.0,20172.0,34,07105
9685,ZCTA5 07106,34659.0,1389.0,24869.0,3082.0,1177.0,2544.0,34,07106
9686,ZCTA5 07107,31128.0,665.0,14947.0,21023.0,9904.0,11866.0,34,07107
9687,ZCTA5 07108,25757.0,4.0,18745.0,2474.0,1143.0,1315.0,34,07108
9688,ZCTA5 07109,65524.0,4163.0,3614.0,16159.0,20196.0,6456.0,34,07109
9689,ZCTA5 07110,85224.0,2836.0,938.0,4496.0,22769.0,936.0,34,07110
9690,ZCTA5 07111,36782.0,915.0,46364.0,5496.0,3263.0,3004.0,34,07111
9691,ZCTA5 07112,36052.0,206.0,24070.0,1163.0,389.0,883.0,34,07112
9692,ZCTA5 07114,21102.0,64.0,8125.0,4306.0,3730.0,2068.0,34,07114
9693,ZCTA5 07201,41383.0,148.0,6973.0,15652.0,12481.0,5859.0,34,07201
9694,ZCTA5 07202,42523.0,855.0,5828.0,26829.0,20624.0,11971.0,34,07202
9695,ZCTA5 07203,43397.0,628.0,11248.0,6108.0,5701.0,3601.0,34,07203
9696,ZCTA5 07204,63021.0,1090.0,944.0,4051.0,9127.0,1994.0,34,07204
9697,ZCTA5 07205,59939.0,585.0,12518.0,3600.0,6248.0,1737.0,34,07205
9698,ZCTA5 07206,45082.0,126.0,5671.0,19916.0,11410.0,10122.0,34,07206
9699,ZCTA5 07208,46153.0,1163.0,6272.0,19520.0,18961.0,4497.0,34,07208
9700,ZCTA5 07302,102211.0,11644.0,3230.0,7524.0,22719.0,843.0,34,07302
9701,ZCTA5 07304,45707.0,7072.0,17150.0,12013.0,11357.0,6050.0,34,07304
9702,ZCTA5 07305,46755.0,10501.0,32352.0,14618.0,12393.0,6478.0,34,07305
9703,ZCTA5 07306,49804.0,19297.0,8647.0,13896.0,23566.0,1881.0,34,07306
9704,ZCTA5 07307,54696.0,8207.0,2868.0,22487.0,18275.0,13492.0,34,07307
9705,ZCTA5 07310,136572.0,8269.0,824.0,1208.0,3255.0,420.0,34,07310
9706,ZCTA5 07311,197991.0,126.0,17.0,57.0,183.0,0.0,34,07311
9707,ZCTA5 07401,140331.0,836.0,87.0,343.0,5658.0,14.0,34,07401
9708,ZCTA5 07403,75977.0,134.0,72.0,1097.0,7566.0,91.0,34,07403
9709,ZCTA5 07405,108672.0,969.0,55.0,1919.0,16209.0,212.0,34,07405
9710,ZCTA5 07407,71852.0,1916.0,1115.0,5638.0,14932.0,1098.0,34,07407
9711,ZCTA5 07410,99536.0,4496.0,476.0,4833.0,26520.0,1142.0,34,07410
9712,ZCTA5 07416,60500.0,72.0,191.0,446.0,5381.0,10.0,34,07416
9713,ZCTA5 07417,156146.0,883.0,116.0,695.0,9433.0,122.0,34,07417
9714,ZCTA5 07418,84219.0,19.0,28.0,77.0,1826.0,12.0,34,07418
9715,ZCTA5 07419,86250.0,197.0,146.0,499.0,7990.0,40.0,34,07419
9716,ZCTA5 07420,78145.0,349.0,177.0,765.0,4154.0,111.0,34,07420
9717,ZCTA5 07421,90324.0,138.0,36.0,421.0,6843.0,213.0,34,07421
9718,ZCTA5 07422,87159.0,13.0,120.0,489.0,5869.0,29.0,34,07422
9719,ZCTA5 07423,162386.0,238.0,0.0,367.0,3767.0,50.0,34,07423
9720,ZCTA5 07424,76223.0,2178.0,1203.0,5006.0,21540.0,1000.0,34,07424
9721,ZCTA5 07430,107336.0,2846.0,934.0,1868.0,21290.0,558.0,34,07430
9722,ZCTA5 07432,89130.0,183.0,33.0,753.0,6858.0,89.0,34,07432
9723,ZCTA5 07435,108125.0,10.0,0.0,116.0,2572.0,17.0,34,07435
9724,ZCTA5 07436,109258.0,575.0,85.0,809.0,12090.0,38.0,34,07436
9725,ZCTA5 07438,97000.0,79.0,40.0,671.0,10933.0,20.0,34,07438
9726,ZCTA5 07439,78438.0,34.0,5.0,172.0,2383.0,15.0,34,07439
9727,ZCTA5 07440,91364.0,92.0,16.0,276.0,4462.0,10.0,34,07440
9728,ZCTA5 07442,87004.0,496.0,37.0,1897.0,10297.0,150.0,34,07442
9729,ZCTA5 07444,85407.0,161.0,16.0,967.0,10228.0,193.0,34,07444
9730,ZCTA5 07446,135387.0,1347.0,34.0,789.0,13325.0,151.0,34,07446
9731,ZCTA5 07450,148145.0,3618.0,490.0,1822.0,20478.0,203.0,34,07450
9732,ZCTA5 07452,155221.0,1191.0,142.0,752.0,10313.0,12.0,34,07452
9733,ZCTA5 07456,108134.0,377.0,125.0,551.0,11499.0,54.0,34,07456
9734,ZCTA5 07457,87274.0,201.0,0.0,336.0,3926.0,11.0,34,07457
9735,ZCTA5 07458,159063.0,1461.0,387.0,812.0,9613.0,52.0,34,07458
9736,ZCTA5 07460,94853.0,16.0,40.0,33.0,3474.0,0.0,34,07460
9737,ZCTA5 07461,85116.0,495.0,340.0,1250.0,17991.0,98.0,34,07461
9738,ZCTA5 07462,80278.0,36.0,178.0,1079.0,6638.0,136.0,34,07462
9739,ZCTA5 07463,108182.0,623.0,163.0,668.0,8922.0,122.0,34,07463
9740,ZCTA5 07465,95705.0,225.0,99.0,855.0,6001.0,35.0,34,07465
9741,ZCTA5 07470,106469.0,4857.0,1439.0,5501.0,47541.0,708.0,34,07470
9742,ZCTA5 07480,102436.0,307.0,145.0,1417.0,16086.0,59.0,34,07480
9743,ZCTA5 07481,131714.0,750.0,34.0,816.0,15947.0,73.0,34,07481
9744,ZCTA5 07495,-666666666.0,0.0,0.0,0.0,0.0,0.0,34,07495
9745,ZCTA5 07501,24915.0,929.0,9617.0,20573.0,9540.0,9387.0,34,07501
9746,ZCTA5 07502,56719.0,2284.0,3633.0,9323.0,7619.0,1678.0,34,07502
9747,ZCTA5 07503,36121.0,769.0,1048.0,12191.0,11908.0,4896.0,34,07503
9748,ZCTA5 07504,51067.0,6.0,6691.0,5427.0,2758.0,1464.0,34,07504
