,Name,Household Income,Asian Amer.,Black Amer.,Hispanic Amer.,White Amer.,Other,state,Zipcode
1963,ZCTA5 07001,71943.0,3695.0,4362.0,3714.0,8971.0,821.0,34,07001
1964,ZCTA5 07002,59924.0,6435.0,7510.0,20534.0,41368.0,7325.0,34,07002
1965,ZCTA5 07003,76487.0,4273.0,9744.0,13969.0,30144.0,3268.0,34,07003
1966,ZCTA5 07004,117750.0,313.0,0.0,594.0,6920.0,18.0,34,07004
1967,ZCTA5 07005,111380.0,1468.0,481.0,1522.0,12498.0,261.0,34,07005
1968,ZCTA5 07006,117828.0,1330.0,355.0,1782.0,23266.0,276.0,34,07006
1969,ZCTA5 07008,74676.0,4967.0,3930.0,8388.0,12578.0,1308.0,34,07008
1970,ZCTA5 07009,119946.0,874.0,858.0,674.0,10646.0,1.0,34,07009
1971,ZCTA5 07010,66952.0,4030.0,849.0,7917.0,16721.0,2372.0,34,07010
1972,ZCTA5 07011,57517.0,1906.0,3284.0,22122.0,23508.0,10330.0,34,07011
1973,ZCTA5 07012,80881.0,2048.0,228.0,1948.0,9306.0,171.0,34,07012
1974,ZCTA5 07013,91963.0,3512.0,1217.0,6503.0,19636.0,1986.0,34,07013
1975,ZCTA5 07014,93023.0,654.0,584.0,1442.0,3315.0,244.0,34,07014
1976,ZCTA5 07016,126655.0,800.0,604.0,2423.0,21187.0,905.0,34,07016
1977,ZCTA5 07017,44805.0,426.0,30183.0,4952.0,1077.0,3672.0,34,07017
1978,ZCTA5 07018,44869.0,295.0,24843.0,2357.0,1030.0,1855.0,34,07018
1979,ZCTA5 07020,107143.0,4272.0,563.0,1686.0,6706.0,254.0,34,07020
1980,ZCTA5 07021,198750.0,77.0,0.0,128.0,2011.0,0.0,34,07021
1981,ZCTA5 07022,57706.0,809.0,558.0,8785.0,10770.0,1676.0,34,07022
1982,ZCTA5 07023,133452.0,468.0,274.0,611.0,6552.0,0.0,34,07023
1983,ZCTA5 07024,78151.0,15722.0,927.0,5306.0,18449.0,795.0,34,07024
1984,ZCTA5 07026,57181.0,861.0,1338.0,11537.0,26360.0,1982.0,34,07026
1985,ZCTA5 07027,84896.0,75.0,51.0,657.0,4094.0,50.0,34,07027
1986,ZCTA5 07028,213138.0,430.0,474.0,692.0,6198.0,32.0,34,07028
1987,ZCTA5 07029,65377.0,3562.0,683.0,9490.0,9626.0,4506.0,34,07029
1988,ZCTA5 07030,136402.0,4865.0,1646.0,8393.0,43784.0,1114.0,34,07030
1989,ZCTA5 07031,75291.0,1075.0,415.0,4449.0,12731.0,1159.0,34,07031
1990,ZCTA5 07032,67284.0,1958.0,1900.0,20816.0,28183.0,7545.0,34,07032
1991,ZCTA5 07033,98624.0,416.0,174.0,1879.0,6535.0,629.0,34,07033
1992,ZCTA5 07034,85293.0,2516.0,332.0,872.0,5607.0,234.0,34,07034
1993,ZCTA5 07035,93377.0,336.0,246.0,1313.0,9603.0,146.0,34,07035
1994,ZCTA5 07036,68531.0,1459.0,13146.0,12970.0,23601.0,3807.0,34,07036
1995,ZCTA5 07039,163403.0,6995.0,681.0,1045.0,20946.0,395.0,34,07039
1996,ZCTA5 07040,131607.0,625.0,9258.0,1790.0,13109.0,593.0,34,07040
1997,ZCTA5 07041,109167.0,1390.0,432.0,504.0,4909.0,125.0,34,07041
1998,ZCTA5 07042,103345.0,840.0,8600.0,2982.0,14574.0,709.0,34,07042
1999,ZCTA5 07043,191706.0,569.0,668.0,1063.0,10836.0,206.0,34,07043
2000,ZCTA5 07044,120408.0,822.0,222.0,892.0,12245.0,70.0,34,07044
2001,ZCTA5 07045,166429.0,2099.0,127.0,584.0,8234.0,0.0,34,07045
2002,ZCTA5 07046,212426.0,670.0,22.0,197.0,3548.0,0.0,34,07046
2003,ZCTA5 07047,61734.0,4358.0,2293.0,43909.0,41914.0,10970.0,34,07047
2004,ZCTA5 07050,38526.0,387.0,21108.0,7592.0,4297.0,4184.0,34,07050
2005,ZCTA5 07052,99845.0,3672.0,13091.0,9204.0,26603.0,2169.0,34,07052
2006,ZCTA5 07054,94665.0,11473.0,1256.0,3406.0,15661.0,316.0,34,07054
2007,ZCTA5 07055,36288.0,2049.0,5735.0,51718.0,40604.0,19618.0,34,07055
2008,ZCTA5 07057,65212.0,838.0,468.0,1559.0,10115.0,88.0,34,07057
2009,ZCTA5 07058,136122.0,1290.0,0.0,528.0,3601.0,0.0,34,07058
2010,ZCTA5 07059,165030.0,2888.0,148.0,872.0,12429.0,0.0,34,07059
2011,ZCTA5 07060,58796.0,1299.0,13301.0,23160.0,16015.0,13852.0,34,07060
2012,ZCTA5 07062,71004.0,124.0,6771.0,3767.0,2879.0,2610.0,34,07062
2013,ZCTA5 07063,71144.0,299.0,5884.0,5534.0,4024.0,3159.0,34,07063
2014,ZCTA5 07064,82361.0,571.0,608.0,1151.0,2708.0,150.0,34,07064
2015,ZCTA5 07065,74164.0,886.0,8635.0,9524.0,15051.0,3555.0,34,07065
2016,ZCTA5 07066,100464.0,688.0,213.0,2195.0,14425.0,141.0,34,07066
2017,ZCTA5 07067,105330.0,2781.0,1176.0,1739.0,13180.0,506.0,34,07067
2018,ZCTA5 07068,126250.0,518.0,0.0,390.0,5102.0,98.0,34,07068
2019,ZCTA5 07069,153707.0,890.0,60.0,629.0,5002.0,14.0,34,07069
2020,ZCTA5 07070,96384.0,3000.0,383.0,3212.0,14153.0,182.0,34,07070
2021,ZCTA5 07071,78036.0,1536.0,456.0,4884.0,18630.0,904.0,34,07071
2022,ZCTA5 07072,100792.0,556.0,41.0,1490.0,5368.0,55.0,34,07072
2023,ZCTA5 07073,78429.0,1579.0,603.0,2217.0,6560.0,416.0,34,07073
2024,ZCTA5 07074,65688.0,197.0,30.0,849.0,1990.0,321.0,34,07074
2025,ZCTA5 07075,92989.0,1012.0,264.0,1142.0,6673.0,212.0,34,07075
2026,ZCTA5 07076,128750.0,2080.0,2610.0,1979.0,18310.0,553.0,34,07076
2027,ZCTA5 07077,77396.0,65.0,185.0,585.0,1913.0,71.0,34,07077
2028,ZCTA5 07078,250001.0,3083.0,34.0,501.0,9346.0,326.0,34,07078
2029,ZCTA5 07079,133281.0,848.0,4323.0,1117.0,10423.0,141.0,34,07079
2030,ZCTA5 07080,100573.0,3695.0,2972.0,4348.0,14785.0,1604.0,34,07080
2031,ZCTA5 07081,114296.0,1727.0,1550.0,1860.0,13140.0,885.0,34,07081
2032,ZCTA5 07082,116791.0,622.0,6.0,422.0,4318.0,181.0,34,07082
2033,ZCTA5 07083,87952.0,5914.0,15788.0,10162.0,27738.0,4241.0,34,07083
2034,ZCTA5 07086,94544.0,1566.0,469.0,5164.0,10583.0,987.0,34,07086
2035,ZCTA5 07087,45620.0,2601.0,3305.0,52830.0,50748.0,9419.0,34,07087
2036,ZCTA5 07088,52299.0,51.0,2506.0,299.0,359.0,212.0,34,07088
2037,ZCTA5 07090,168983.0,2147.0,903.0,2301.0,25463.0,1031.0,34,07090
2038,ZCTA5 07092,130345.0,421.0,129.0,566.0,6058.0,73.0,34,07092
2039,ZCTA5 07093,54824.0,4230.0,2191.0,47289.0,38544.0,16802.0,34,07093
2040,ZCTA5 07094,101184.0,5395.0,691.0,4235.0,12063.0,633.0,34,07094
2041,ZCTA5 07095,82917.0,4232.0,2308.0,5079.0,11312.0,958.0,34,07095
2042,ZCTA5 07102,25351.0,862.0,6612.0,3338.0,3558.0,1466.0,34,07102
2043,ZCTA5 07103,29304.0,804.0,25693.0,4942.0,2860.0,2402.0,34,07103
2044,ZCTA5 07104,36799.0,989.0,13603.0,33767.0,18642.0,15198.0,34,07104
2045,ZCTA5 07105,44721.0,406.0,4241.0,26351.0,31782.0,14496.0,34,07105
2046,ZCTA5 07106,39562.0,1925.0,26409.0,3869.0,1377.0,2957.0,34,07106
