,Name,Household Income,Asian Amer.,Black Amer.,Hispanic Amer.,White Amer.,Other,state,Zipcode
1963,ZCTA5 07001,69849.0,3542.0,4058.0,3638.0,9250.0,624.0,34,07001
1964,ZCTA5 07002,63947.0,6466.0,6888.0,21788.0,40770.0,7767.0,34,07002
1965,ZCTA5 07003,78034.0,4323.0,9923.0,14494.0,30152.0,3262.0,34,07003
1966,ZCTA5 07004,122063.0,271.0,0.0,817.0,7005.0,0.0,34,07004
1967,ZCTA5 07005,111946.0,1415.0,480.0,1449.0,12680.0,128.0,34,07005
1968,ZCTA5 07006,127921.0,1518.0,517.0,1866.0,22896.0,241.0,34,07006
1969,ZCTA5 07008,73347.0,4886.0,3135.0,9389.0,12838.0,1914.0,34,07008
1970,ZCTA5 07009,123768.0,1043.0,430.0,753.0,10825.0,22.0,34,07009
1971,ZCTA5 07010,72633.0,4145.0,912.0,7848.0,17748.0,1214.0,34,07010
1972,ZCTA5 07011,59519.0,1455.0,2610.0,22722.0,24688.0,9870.0,34,07011
1973,ZCTA5 07012,81361.0,2120.0,501.0,2063.0,9560.0,90.0,34,07012
1974,ZCTA5 07013,92312.0,3543.0,855.0,6001.0,19556.0,1609.0,34,07013
1975,ZCTA5 07014,89349.0,920.0,481.0,1632.0,3565.0,240.0,34,07014
1976,ZCTA5 07016,129781.0,804.0,478.0,2202.0,21312.0,966.0,34,07016
1977,ZCTA5 07017,48673.0,824.0,30058.0,5301.0,1256.0,3658.0,34,07017
1978,ZCTA5 07018,47094.0,344.0,24453.0,1891.0,950.0,1469.0,34,07018
1979,ZCTA5 07020,127221.0,4732.0,652.0,1625.0,6380.0,168.0,34,07020
1980,ZCTA5 07021,213309.0,71.0,0.0,173.0,1966.0,0.0,34,07021
1981,ZCTA5 07022,57698.0,995.0,317.0,8775.0,11010.0,1342.0,34,07022
1982,ZCTA5 07023,147905.0,484.0,290.0,663.0,6556.0,0.0,34,07023
1983,ZCTA5 07024,83767.0,15902.0,943.0,4914.0,18665.0,801.0,34,07024
1984,ZCTA5 07026,62867.0,727.0,1469.0,12352.0,26551.0,1914.0,34,07026
1985,ZCTA5 07027,88892.0,184.0,50.0,591.0,3955.0,58.0,34,07027
1986,ZCTA5 07028,198625.0,517.0,352.0,583.0,6256.0,27.0,34,07028
1987,ZCTA5 07029,69389.0,3789.0,759.0,10263.0,9803.0,4979.0,34,07029
1988,ZCTA5 07030,147620.0,5212.0,1808.0,8499.0,42920.0,1191.0,34,07030
1989,ZCTA5 07031,84527.0,1020.0,400.0,4843.0,13125.0,889.0,34,07031
1990,ZCTA5 07032,70658.0,2135.0,2020.0,21741.0,27293.0,8010.0,34,07032
1991,ZCTA5 07033,93208.0,281.0,204.0,2282.0,6200.0,1029.0,34,07033
1992,ZCTA5 07034,86799.0,2804.0,328.0,755.0,5361.0,305.0,34,07034
1993,ZCTA5 07035,98136.0,533.0,229.0,1232.0,9336.0,131.0,34,07035
1994,ZCTA5 07036,72432.0,1591.0,12869.0,13885.0,23973.0,3493.0,34,07036
1995,ZCTA5 07039,166629.0,7828.0,539.0,1014.0,20490.0,383.0,34,07039
1996,ZCTA5 07040,138870.0,675.0,9464.0,1939.0,13023.0,576.0,34,07040
1997,ZCTA5 07041,134732.0,1442.0,422.0,597.0,4420.0,264.0,34,07041
1998,ZCTA5 07042,108708.0,1022.0,8061.0,3087.0,15083.0,612.0,34,07042
1999,ZCTA5 07043,205735.0,513.0,554.0,968.0,10917.0,141.0,34,07043
2000,ZCTA5 07044,125000.0,730.0,290.0,946.0,12377.0,66.0,34,07044
2001,ZCTA5 07045,169095.0,2408.0,109.0,498.0,7965.0,0.0,34,07045
2002,ZCTA5 07046,242083.0,622.0,13.0,180.0,3616.0,0.0,34,07046
2003,ZCTA5 07047,63908.0,4773.0,2585.0,42025.0,41833.0,9619.0,34,07047
2004,ZCTA5 07050,43039.0,511.0,21070.0,7607.0,4116.0,4149.0,34,07050
2005,ZCTA5 07052,105584.0,3553.0,13264.0,9424.0,26030.0,2334.0,34,07052
2006,ZCTA5 07054,99251.0,11222.0,1084.0,3422.0,15820.0,217.0,34,07054
2007,ZCTA5 07055,40944.0,1963.0,5677.0,52386.0,45313.0,15334.0,34,07055
